Spine,LeftUpLeg,RightUpLeg,Spine2,Neck,RightArm,RightShoulder,LeftArm,LeftShoulder,RightLeg,LeftLeg
"(nan, nan, nan)","(0.0, nan, 88.8065)","(180.0, 180.0, 94.7698)","(180.0, 180.0, 180.0)","(180.0, 180.0, 177.7795)","(180.0, 0.0, 144.4853)","(0.0, 180.0, 80.1884)","(180.0, 0.0, 136.6847)","(0.0, 180.0, 79.0609)","(180.0, 0.0, 171.8497)","(180.0, nan, 176.7603)"
"(nan, nan, nan)","(0.0, nan, 88.8065)","(180.0, 180.0, 94.7698)","(180.0, 180.0, 180.0)","(180.0, 180.0, 177.7795)","(180.0, nan, 145.9541)","(0.0, 180.0, 80.1884)","(180.0, 0.0, 136.6847)","(0.0, 180.0, 79.0609)","(180.0, 0.0, 171.8497)","(180.0, nan, 176.7603)"
"(nan, nan, nan)","(0.0, nan, 88.8065)","(180.0, 180.0, 94.697)","(180.0, 180.0, 180.0)","(180.0, 180.0, 177.7795)","(180.0, nan, 145.9541)","(0.0, 180.0, 80.1884)","(180.0, 0.0, 136.6847)","(0.0, 180.0, 79.0609)","(180.0, 0.0, 171.8296)","(180.0, nan, 177.8389)"
"(nan, nan, nan)","(0.0, 180.0, 90.0265)","(180.0, 180.0, 94.7224)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.1007)","(180.0, nan, 145.9541)","(0.0, 180.0, 80.0281)","(180.0, 0.0, 136.6847)","(0.0, 180.0, 79.2368)","(180.0, 0.0, 171.8296)","(180.0, 180.0, 179.0843)"
"(nan, nan, nan)","(0.0, 180.0, 90.0265)","(180.0, 180.0, 94.6525)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.1007)","(180.0, nan, 145.9541)","(0.0, 180.0, 80.0281)","(180.0, 0.0, 136.6847)","(0.0, 180.0, 79.2368)","(180.0, 0.0, 171.8995)","(180.0, 180.0, 179.0843)"
"(nan, nan, nan)","(0.0, 180.0, 90.0265)","(180.0, 180.0, 94.6525)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.1007)","(180.0, nan, 145.9541)","(0.0, 180.0, 80.0281)","(180.0, 0.0, 139.0445)","(0.0, 180.0, 78.2317)","(180.0, 0.0, 171.8995)","(180.0, 180.0, 179.0843)"
"(nan, nan, nan)","(0.0, 180.0, 90.0265)","(180.0, 180.0, 95.7928)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.1007)","(180.0, 0.0, 143.4354)","(0.0, 180.0, 81.0779)","(180.0, 0.0, 139.0445)","(0.0, 180.0, 78.2317)","(180.0, 0.0, 170.7592)","(180.0, 180.0, 179.0843)"
"(nan, nan, nan)","(0.0, 180.0, 90.0265)","(180.0, 180.0, 95.7928)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.1007)","(180.0, 0.0, 143.4354)","(0.0, 180.0, 81.0779)","(180.0, 0.0, 139.0445)","(0.0, 180.0, 78.2317)","(180.0, 0.0, 170.7592)","(180.0, 180.0, 179.0843)"
"(nan, nan, nan)","(0.0, 180.0, 90.0519)","(180.0, 180.0, 94.697)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.422)","(180.0, 0.0, 142.4486)","(0.0, 180.0, 81.9401)","(180.0, 0.0, 139.0445)","(0.0, 180.0, 78.4067)","(180.0, 0.0, 171.8296)","(180.0, 180.0, 179.0428)"
"(nan, nan, nan)","(0.0, 180.0, 90.0519)","(180.0, 180.0, 94.697)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.422)","(180.0, 180.0, 145.9925)","(0.0, 180.0, 82.6907)","(180.0, 0.0, 139.0445)","(0.0, 180.0, 78.4067)","(180.0, 0.0, 171.8296)","(180.0, 180.0, 179.0428)"
"(nan, nan, nan)","(0.0, 180.0, 90.0519)","(180.0, 180.0, 94.697)","(180.0, 180.0, nan)","(180.0, 180.0, 178.4426)","(180.0, 180.0, 150.6558)","(0.0, 180.0, 83.2005)","(180.0, 0.0, 137.6898)","(0.0, 180.0, 78.5617)","(180.0, 0.0, 171.8296)","(180.0, 180.0, 179.0428)"
"(nan, nan, nan)","(nan, 180.0, 91.273)","(nan, 180.0, 93.5035)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.43)","(180.0, 180.0, 157.803)","(0.0, 180.0, 85.1339)","(180.0, 0.0, 138.3085)","(0.0, 180.0, 77.9671)","(180.0, 0.0, 171.9225)","(180.0, 180.0, 179.112)"
"(nan, nan, nan)","(180.0, 180.0, 92.4665)","(0.0, 180.0, 92.2401)","(180.0, 180.0, nan)","(180.0, 180.0, 178.4173)","(180.0, 180.0, 171.5056)","(0.0, 180.0, 87.8392)","(180.0, 0.0, 138.3085)","(0.0, 180.0, 78.124)","(180.0, 0.0, 171.9924)","(180.0, 180.0, 179.112)"
